CMDLINE C:\Users\Administrator\AppData\Local\Programs\Python\Python39\python.exe example4.py
MEM 1.343750 1632396928.0980
MEM 14.570312 1632396928.2073
MEM 22.125000 1632396928.3167
MEM 27.460938 1632396928.4261
MEM 33.562500 1632396928.5355
MEM 38.925781 1632396928.6448
MEM 44.851562 1632396928.7542
MEM 48.894531 1632396928.8636
MEM 49.121094 1632396928.9730
MEM 49.292969 1632396929.0823
MEM 49.292969 1632396929.1917
MEM 49.292969 1632396929.2931
MEM 49.292969 1632396929.4025
MEM 49.292969 1632396929.5122
MEM 49.292969 1632396929.6213
MEM 49.292969 1632396929.7306
MEM 49.292969 1632396929.8400
MEM 49.292969 1632396929.9494
MEM 51.789062 1632396930.0588
MEM 49.511719 1632396930.1681
MEM 49.511719 1632396930.2775
MEM 49.511719 1632396930.3869
MEM 49.511719 1632396930.4963
MEM 49.511719 1632396930.6056
MEM 49.511719 1632396930.7126
MEM 49.511719 1632396930.8220
MEM 49.511719 1632396930.9313
MEM 49.511719 1632396931.0407
MEM 49.511719 1632396931.1501
MEM 49.511719 1632396931.2595
MEM 49.511719 1632396931.3688
MEM 49.511719 1632396931.4782
MEM 49.511719 1632396931.5876
MEM 49.511719 1632396931.6970
MEM 49.511719 1632396931.8063
MEM 49.511719 1632396931.9157
MEM 49.511719 1632396932.0251
MEM 49.511719 1632396932.1345
MEM 49.511719 1632396932.2438
MEM 49.511719 1632396932.3532
MEM 49.511719 1632396932.4626
MEM 49.511719 1632396932.5720
MEM 49.511719 1632396932.6813
MEM 49.511719 1632396932.7907
MEM 49.511719 1632396932.9001
MEM 49.511719 1632396933.0095
MEM 49.511719 1632396933.1188
MEM 49.511719 1632396933.2282
MEM 49.511719 1632396933.3376
MEM 49.511719 1632396933.4470
MEM 49.511719 1632396933.5563
MEM 49.511719 1632396933.6657
MEM 49.511719 1632396933.7751
MEM 49.511719 1632396933.8845
MEM 49.511719 1632396933.9939
MEM 49.511719 1632396934.1032
MEM 49.511719 1632396934.2126
MEM 49.511719 1632396934.3220
MEM 49.511719 1632396934.4314
MEM 49.511719 1632396934.5407
MEM 49.511719 1632396934.6501
MEM 49.511719 1632396934.7595
MEM 49.511719 1632396934.8688
MEM 49.511719 1632396934.9782
MEM 49.511719 1632396935.0876
MEM 49.511719 1632396935.1970
MEM 49.511719 1632396935.3063
MEM 49.511719 1632396935.4157
MEM 49.511719 1632396935.5251
MEM 49.511719 1632396935.6345
MEM 49.511719 1632396935.7438
MEM 49.511719 1632396935.8532
MEM 49.511719 1632396935.9626
MEM 49.511719 1632396936.0720
MEM 49.511719 1632396936.1813
MEM 49.511719 1632396936.2907
MEM 49.511719 1632396936.4001
MEM 49.511719 1632396936.5095
MEM 49.511719 1632396936.6188
MEM 49.511719 1632396936.7282
MEM 49.511719 1632396936.8376
MEM 49.511719 1632396936.9376
MEM 49.511719 1632396937.0470
MEM 49.511719 1632396937.1564
